"EXP","BC","HM","indicateur","url"
"rcp85","MF-ADAMONT","C-TRIP","Debit-tVCX3_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp85/Indicateurs_Debit-tVCX3_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp85_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp26","LSCE-IPSL-CDFt","EROS","Debit-Q05A_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_EROS/Indicateurs_Debit/rcp26/Indicateurs_Debit-Q05A_Annuel_EXPLORE2-2024_LSCE-IPSL-CDFt_historical-rcp26_EROS_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp26","MF-ADAMONT","EROS","Debit-Q05A_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_EROS/Indicateurs_Debit/rcp26/Indicateurs_Debit-Q05A_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp26_EROS_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp26","LSCE-IPSL-CDFt","EROS","Debit-Q10A_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_EROS/Indicateurs_Debit/rcp26/Indicateurs_Debit-Q10A_Annuel_EXPLORE2-2024_LSCE-IPSL-CDFt_historical-rcp26_EROS_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp26","MF-ADAMONT","EROS","Debit-Q10A_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_EROS/Indicateurs_Debit/rcp26/Indicateurs_Debit-Q10A_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp26_EROS_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp26","LSCE-IPSL-CDFt","EROS","Debit-Q50A_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_EROS/Indicateurs_Debit/rcp26/Indicateurs_Debit-Q50A_Annuel_EXPLORE2-2024_LSCE-IPSL-CDFt_historical-rcp26_EROS_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp26","MF-ADAMONT","EROS","Debit-Q50A_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_EROS/Indicateurs_Debit/rcp26/Indicateurs_Debit-Q50A_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp26_EROS_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp26","LSCE-IPSL-CDFt","EROS","Debit-Q90A_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_EROS/Indicateurs_Debit/rcp26/Indicateurs_Debit-Q90A_Annuel_EXPLORE2-2024_LSCE-IPSL-CDFt_historical-rcp26_EROS_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp26","MF-ADAMONT","EROS","Debit-Q90A_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_EROS/Indicateurs_Debit/rcp26/Indicateurs_Debit-Q90A_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp26_EROS_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp26","LSCE-IPSL-CDFt","EROS","Debit-Q95A_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_EROS/Indicateurs_Debit/rcp26/Indicateurs_Debit-Q95A_Annuel_EXPLORE2-2024_LSCE-IPSL-CDFt_historical-rcp26_EROS_serie-temporelle_modeles-individuels_NetCDF.zip"
